Month,metric,counter
2013-12,total_domain,546148.0
2013-12,v6_web_domains,6822.0
2013-12,v6_mail_domains,37498.0
2013-12,v6_dns_domains,75050.0
2014-06,total_domain,550625.0
2014-06,v6_web_domains,6566.0
2014-06,v6_mail_domains,37482.0
2014-06,v6_dns_domains,79927.0
2014-09,total_domain,551657.0
2014-09,v6_web_domains,6712.0
2014-09,v6_mail_domains,38393.0
2014-09,v6_dns_domains,83434.0
2014-08,total_domain,551028.0
2014-08,v6_web_domains,6672.0
2014-08,v6_mail_domains,38020.0
2014-08,v6_dns_domains,82240.0
2014-05,total_domain,552411.0
2014-05,v6_web_domains,6264.0
2014-05,v6_mail_domains,35306.0
2014-05,v6_dns_domains,79137.0
2014-04,total_domain,550220.0
2014-04,v6_web_domains,7266.0
2014-04,v6_mail_domains,37675.0
2014-04,v6_dns_domains,79390.0
2014-07,total_domain,552253.0
2014-07,v6_web_domains,6614.0
2014-07,v6_mail_domains,37727.0
2014-07,v6_dns_domains,81016.0
2014-11,total_domain,589190.0
2014-11,v6_web_domains,6999.0
2014-11,v6_mail_domains,40309.0
2014-11,v6_dns_domains,87283.0
2014-03,total_domain,551567.0
2014-03,v6_web_domains,6919.0
2014-03,v6_mail_domains,37790.0
2014-03,v6_dns_domains,77914.0
2014-02,total_domain,542861.0
2014-02,v6_web_domains,6719.0
2014-02,v6_mail_domains,36961.0
2014-02,v6_dns_domains,77017.0
2014-12,total_domain,594975.0
2014-12,v6_web_domains,7313.0
2014-12,v6_mail_domains,42621.0
2014-12,v6_dns_domains,89416.0
2013-08,total_domain,536255.0
2013-08,v6_web_domains,5735.0
2013-08,v6_mail_domains,35168.0
2013-08,v6_dns_domains,60472.0
2013-09,total_domain,544668.0
2013-09,v6_web_domains,5498.0
2013-09,v6_mail_domains,35978.0
2013-09,v6_dns_domains,67361.0
2015-02,total_domain,601206.0
2015-02,v6_web_domains,7452.0
2015-02,v6_mail_domains,40864.0
2015-02,v6_dns_domains,90604.0
2014-10,total_domain,579735.0
2014-10,v6_web_domains,6814.0
2014-10,v6_mail_domains,39177.0
2014-10,v6_dns_domains,86595.0
2013-11,total_domain,546426.0
2013-11,v6_web_domains,6115.0
2013-11,v6_mail_domains,37251.0
2013-11,v6_dns_domains,73327.0
2013-10,total_domain,545706.0
2013-10,v6_web_domains,5653.0
2013-10,v6_mail_domains,36238.0
2013-10,v6_dns_domains,70743.0
